,Title,Year,Summary,Short Summary,Genres,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast
3939,UFO,2018,"Derek (Alex Sharp) a brilliant college student, haunted by a childhood UFO sighting, believes that mysterious sightings reported at multiple airports across the United States are UFO's. With the help of his girlfriend, Natalie (Ella Purnell), and his advanced mathematics professor, Dr. Hendricks (X-Files' Gillian Anderson), Derek races to unravel the mystery with FBI special agent Franklin Ahls (David Strathairn) on his heels.","A college student, who sees a UFO, uses his exceptional math skills to investigate the sighting with his friends while the FBI follows closely behind.",Action|Sci-Fi|Thriller,tt6290798,88,gxUcHrPhewY,6.2,https://hydramovies.com/wp-content/uploads/2018/09/UFO-Movie-Poster.jpg,Ryan Eslinger,Ryan Eslinger,Alex Sharp|Benjamin Beatty|Ella Purnell
3628,Father of the Year,2018,"When two buddies' drunken debate about whose father would win in a fight is taken seriously by one of their fathers, things go bad. Jobs are lost, relationships ruined, futures destroyed, and middle-aged men are knocked out. In this coming of age story about two recent college graduates spending a few weeks at home before they move to New York, our best friends come to grips with who their fathers really are as they start to see the world with adult eyes.","When two buddies' drunken debate about whose father would win in a fight is taken seriously by one of their fathers, things go bad. Jobs are lost, relationships ruined, futures destroyed, ...",Comedy,tt7256866,94,eYFezrCkbAQ,5.2,https://hydramovies.com/wp-content/uploads/2018/07/Father-of-the-Year-Movie-Poster.jpg,Tyler Spindel,Brandon Cournoyer,David Spade|Joey Bragg|Nat Faxon
3625,The Honey Killer,2018,"THE HONEY KILLER is about 48 hours in the life of public school-fool and Hedge-fund manager, Darryl Maddock, who suddenly discovers his stunning and exotic fiancé is a serial gold-digger with a penchant for violence. Tarantino meets Pedro Almodovar in this stylish, black comedy.","A stylish, British black comedy about a femme fatale who kills her boyfriends for money.",Uncategorized,tt1362141,0,dXt1tVDQi7c,5.9,https://hydramovies.com/wp-content/uploads/2018/07/The-Honey-Killer-Movie-Poster.jpg,Richard Harrison,Laurie Crowter,Antonio Marascal Perez|Peter Cadwell|Ruben Crow
3622,Sara's Notebook,2018,"Laura Alonso is a Spanish lawyer from Madrid who arrives Democratic Republic of Congo (center of Africa) after to watch a photo where Sara, her younger sister, appears alive after two years without clues about her location. Looking for contacts, Laura realize that Sara was photographed in the region of Goma, one of the most troubled zones of the country due to the warlords and their inner war by the possession of the coltan, a so much appreciated and expensive mineral to export across the world. Determined to go until the end despite not knowing the country nor the language, Laura contacts Sergio Rojas, a Latin businessman, to get the way to travel Goma. But after to discover the real interests of Sergio, Laura asks help Sven, a former part-time Sara's lover, to go Goma. Sven finds Jamir, a young former war-child who reluctant accept Laura's offer to help her. Together they both start a journey from Kinsasa (DR of Congo's capital) to Goma. Along the travel, Laura's life not only will ...","Laura Alonso is a Spanish lawyer from Madrid who sets off to Democratic Republic of Congo (center of Africa) after having seen a photo where Sara, her younger sister, appears alive after ...",Thriller,tt6599742,115,KQrPyiBcjEM,6.1,https://hydramovies.com/wp-content/uploads/2018/07/Saras-Notebook-Movie-Poster.jpg,Norberto López Amado,Jorge Guerricaechevarría,Belén Rueda|Iván Mendes|Marian Álvarez
3621,Made in Italy,2018,"Riko works in a cured meats factory, like his father, surrounded by more pigs than people. The real, everyday love he shares with Sarah, is in predicament. While Riko's unhappy with his job, he's lucky to be working at all, unlike several of his colleagues fired at the age of fifty. Not even going out with friends, including Carnevale, is enough to soothe the professional and existential crisis. To shake things up, he decides to drive to Rome with his friends. Together they take part in a protest during which Riko receives a blow to the head. The hit brings a change including making amends with his wife and confronting the problems at work. Riko and Sara decide to remarry though this emotional new beginning is abruptly interrupted by Sara's confession. She cheated on him with Carnevale, his best friend, who then commits suicide. Riko is then fired and the loss of his friend and job sends him spiraling into a depression that leads him to consider suicide. It's thanks to his son, Pietro...","Riko works in a cured meats factory, like his father, surrounded by more pigs than people. The real, everyday love he shares with Sarah, is in predicament. While Riko's unhappy with his job...",Comedy|Drama,tt6917242,100,PvJGJPoNCoI,6.5,https://hydramovies.com/wp-content/uploads/2018/07/Made-in-Italy-Movie-Poster.jpg,Luciano Ligabue,Luciano Ligabue,Fausto Maria Sciarappa|Kasia Smutniak|Stefano Accorsi
3620,I Feel Pretty,2018,"In I FEEL PRETTY a woman who struggles with feelings of deep insecurity and low self-esteem, that hold her back everyday, wakes from a brutal fall in an exercise class believing she is suddenly a supermodel. With this newfound confidence she is empowered to live her life fearlessly and flawlessly, but what will happen when she realizes her appearance never changed?","A woman struggling with insecurity wakes from a fall believing she is the most beautiful and capable woman on the planet. Her new confidence empowers her to live fearlessly, but what happens when she realizes her appearance never changed?",Comedy,tt6791096,110,cVx9EFK3DWE,5,https://hydramovies.com/wp-content/uploads/2018/07/I-Feel-Pretty-Movie-Poster.jpg,Abby Kohn,Abby Kohn,Amy Schumer|Emily Ratajkowski|Michelle Williams
3615,Ideal Home,2018,"Steve Coogan and Paul Rudd star as Erasmus and Paul, a bickering gay couple whose life is turned inside out when a ten-year old boy shows up at their door claiming to be Erasmus' grandson. Neither Paul, nor Erasmus, are ready to give up their extravagant lifestyles to be parents, but maybe this little kid has a thing or two to teach them about the value of family.",A bickering gay couple must now deal with the unexpected task of raising a ten-year-old boy.,Comedy|Drama,tt5460880,91,S8b1Dh-3fkw,6.7,https://hydramovies.com/wp-content/uploads/2018/07/Ideal-Home-Movie-Poster.jpg,Andrew Fleming,Andrew Fleming,Kate Walsh|Paul Rudd|Steve Coogan
3614,Tau,2018,"Once a street-smart drifter, Julia (Maika Monroe) is the latest person held captive, a body and a mind to be exploited in a fatal experiment. The only thing standing in the way of her freedom is TAU, the advanced artificial intelligence developed in secret by Alex (Ed Skrein), her masochistic and enigmatic captor. TAU is armed with a battalion of drones and robots that automate Alex's futuristic smart house and laboratory, the walls lined with screens that visually transport it from grassy plains to the depths of space. TAU's potential is only limited by his understanding of the world he exists in, but TAU is ready for more. Julia, showing resourcefulness and courage, must race against time to bridge the boundaries between man and machine, connect to TAU and win her freedom before she suffers the same fate as the six other subjects who came before her.","A woman is held captive by a scientist in a futuristic smart house, and hopes to escape by reasoning with the Artificial Intelligence that controls the house.",Sci-Fi|Thriller,tt4357394,97,h9nrBkQ2YBo,5.7,https://hydramovies.com/wp-content/uploads/2018/07/Tau-Movie-Poster.jpg,Federico D'Alessandro,Noga Landau,Ed Skrein|Gary Oldman|Maika Monroe
3613,The Catcher Was a Spy,2018,"A major league baseball player, Moe Berg, lives a double life working for the Office of Strategic Services.","A major league baseball player, Moe Berg, lives a double life working for the Office of Strategic Services.",Biography|Drama|War,tt4602066,98,Ffmzqctbkbo,6,https://hydramovies.com/wp-content/uploads/2018/07/The-Catcher-Was-a-Spy-Movie-Poster.jpg,Ben Lewin,Robert Rodat,Guy Pearce|Paul Rudd|Sienna Miller
3612,The Domestics,2018,"In a terrifying post-apocalyptic world inhabited by gangs divided into deadly factions, a husband and wife race desperately across the countryside in search of safety and must work together as they are pushed to the breaking point in order to survive.","In a terrifying post-apocalyptic world inhabited by gangs divided into deadly factions, a husband and wife race desperately across the countryside in search of safety and must work together as they are pushed to the breaking point in order to survive.",Horror|Thriller,tt5591666,95,IrcQhTm2h2I,5.7,https://hydramovies.com/wp-content/uploads/2018/07/The-Domestics-Movie-Poster.jpg,Mike P. Nelson,Mike P. Nelson,Kate Bosworth|Sonoya Mizuno|Tyler Hoechlin
2983,Samson,2018,"A Hebrew with an unusual gift of strength must respond properly to the call of God on his life in order to lead his people out of enslavement. After his youthful ambition leads to a tragic marriage, his acts of revenge thrust him into direct conflict with the Philistine army. As his brother mounts a tribal rebellion, only Samson's relationship with a Philistine seductress and his final surrender - both to the Philistines and to God - turns imprisonment and blindness into final victory.","After losing the love of his life to a cruel Philistine prince, a young Hebrew with Supernatural strength defends his people, sacrificing everything to avenge his love, his people, and his God.",Action|Drama,tt6951892,110,mSolF3QBVBY,4.2,https://hydramovies.com/wp-content/uploads/2018/05/Samson-Movie-Poster.jpg,Bruce Macdonald,Jason Baumgardner,Billy Zane|Jackson Rathbone
3599,Recovery Boys,2018,"In the heart of America's opioid epidemic, four men attempt to reinvent their lives and reenter society sober after years of drug abuse. Recovery Boys, from Academy Award nominated director Elaine McMillion Sheldon (Heroin(e)), is an intimate look at the strength, brotherhood, and courage that it takes to overcome addiction and lays bare the internal conflict of recovery and the external hurdles of an unforgiving society.","In the heart of America's opioid epidemic, four men attempt to reinvent their lives and reenter society sober after years of drug abuse. Recovery Boys, from Academy Award nominated director...",Documentary,tt8167872,89,XSS9kYipRLk,6.8,https://hydramovies.com/wp-content/uploads/2018/07/Recovery-Boys-Movie-Poster.jpg,Elaine McMillion Sheldon,,
